id_livraison,id_commande,date_expedition,date_livraison,statut_livraison,transporteur
4028,4028,2025-12-06,2025-12-08,livrée,Legros S.A.R.L.
4029,4029,2020-03-23,2020-03-26,livrée,Bouvet
4030,4030,2021-10-10,2021-10-11,en attente,Pascal Joly SARL
4031,4031,2019-07-22,2019-07-23,en cours,Gay
4032,4032,2024-03-09,2024-03-13,livrée,Lombard
4033,4033,2024-07-07,2024-07-10,livrée,Maurice S.A.
4034,4034,2020-07-12,2020-07-13,livrée,David
4035,4035,2022-01-16,2022-01-18,en cours,Dos Santos et Fils
4036,4036,2025-06-29,2025-06-30,en attente,Chevalier S.A.R.L.
4037,4037,2025-06-06,2025-06-10,livrée,Thierry S.A.S.
4038,4038,2024-06-10,2024-06-17,en cours,Barbe Olivier SA
4039,4039,2020-12-07,2020-12-12,livrée,Munoz S.A.R.L.
4040,4040,2019-01-14,2019-01-19,en attente,Duhamel
4041,4041,2023-04-20,2023-04-22,en attente,Boyer S.A.R.L.
4042,4042,2022-01-14,2022-01-17,en attente,Sauvage
4043,4043,2024-10-01,2024-10-06,livrée,Dupuy Peron et Fils
4044,4044,2019-02-09,2019-02-10,livrée,Carre Henry S.A.R.L.
4045,4045,2021-04-06,2021-04-13,en attente,Letellier Baudry S.A.S.
4046,4046,2024-06-18,2024-06-25,en cours,Nicolas Techer SA
4047,4047,2025-10-13,2025-10-20,livrée,Meyer
4048,4048,2023-05-21,2023-05-24,en attente,Fernandez
4049,4049,2020-03-05,2020-03-07,livrée,Hebert
4050,4050,2019-12-31,2020-01-04,en cours,Voisin S.A.R.L.
4051,4051,2022-02-15,2022-02-20,livrée,Lopez
4052,4052,2019-04-26,2019-04-27,en cours,Ramos Menard SA
4053,4053,2025-12-13,2025-12-16,en cours,Caron Lefèvre SARL
4054,4054,2025-12-22,2025-12-28,en cours,Perret
4055,4055,2022-02-25,2022-03-01,en attente,Hebert
4056,4056,2020-05-14,2020-05-15,livrée,Ferrand
4057,4057,2021-02-11,2021-02-15,livrée,Vaillant
4058,4058,2019-01-28,2019-02-01,livrée,Blondel SARL
4059,4059,2025-12-13,2025-12-16,livrée,Lemaire
4060,4060,2025-12-17,2025-12-19,en cours,Baron
4061,4061,2020-03-21,2020-03-24,livrée,Germain Nicolas S.A.S.
4062,4062,2020-05-18,2020-05-22,en attente,Hervé
4063,4063,2021-05-08,2021-05-15,livrée,Perez
4064,4064,2021-12-08,2021-12-10,en cours,Lefèvre SARL
4065,4065,2023-05-14,2023-05-16,en cours,Berthelot Chrétien SARL
4066,4066,2022-03-16,2022-03-20,livrée,Bazin Garcia S.A.R.L.
4067,4067,2019-05-24,2019-05-27,livrée,Delannoy
4068,4068,2022-05-18,2022-05-19,en cours,Ribeiro Bonneau et Fils
4069,4069,2019-07-17,2019-07-24,en attente,Laporte Ledoux S.A.
4070,4070,2023-06-12,2023-06-14,en attente,Lecomte
4071,4071,2021-09-13,2021-09-14,en attente,Pinto S.A.
4072,4072,2022-05-21,2022-05-28,livrée,Dupont
4073,4073,2021-09-25,2021-10-01,livrée,Leroy Benoit S.A.
4074,4074,2024-03-22,2024-03-24,en cours,Nicolas Simon S.A.R.L.
4075,4075,2024-12-30,2025-01-03,en cours,Laporte S.A.S.
4076,4076,2024-05-22,2024-05-29,livrée,Dumont
4077,4077,2024-11-12,2024-11-17,livrée,Guichard Lesage et Fils
4078,4078,2023-02-13,2023-02-19,en cours,Gros Thibault SARL
4079,4079,2025-05-02,2025-05-03,en attente,Renard
4080,4080,2025-10-29,2025-10-30,en cours,Payet SA
4081,4081,2024-09-13,2024-09-19,en attente,Didier Descamps S.A.S.
4082,4082,2020-12-24,2020-12-29,en attente,Gaudin S.A.R.L.
4083,4083,2019-04-05,2019-04-08,en cours,Grondin
4084,4084,2022-09-30,2022-10-04,livrée,Martineau Ribeiro SARL
4085,4085,2024-11-18,2024-11-25,en attente,Leroux
4086,4086,2019-10-14,2019-10-17,en cours,Boyer
4087,4087,2021-07-29,2021-08-03,en attente,Tanguy SARL
4088,4088,2020-06-11,2020-06-18,en cours,Letellier
4089,4089,2022-04-24,2022-04-26,livrée,Moreno S.A.S.
4090,4090,2021-04-09,2021-04-14,en attente,Leblanc Salmon et Fils
4091,4091,2023-04-26,2023-04-28,en cours,Salmon SA
4092,4092,2023-08-06,2023-08-08,en attente,Blanchet SA
4093,4093,2021-12-11,2021-12-13,en cours,Besson Delahaye SA
4094,4094,2025-12-20,2025-12-25,livrée,Charpentier Lombard S.A.
4095,4095,2024-06-21,2024-06-23,livrée,Gay Roussel S.A.S.
4096,4096,2019-12-27,2020-01-03,en attente,Charles
4097,4097,2022-08-08,2022-08-11,en attente,Lucas
4098,4098,2025-06-24,2025-07-01,livrée,Collet
4099,4099,2024-01-11,2024-01-14,en attente,Lemonnier Dufour SA
4100,4100,2022-09-27,2022-10-02,livrée,Clerc et Fils
4101,4101,2024-02-05,2024-02-08,en cours,Boucher
4102,4102,2025-09-29,2025-10-05,livrée,Chauvin
4103,4103,2024-01-20,2024-01-25,en attente,Menard
4104,4104,2019-03-16,2019-03-20,livrée,Maillet
4105,4105,2021-10-31,2021-11-02,en attente,Rodriguez S.A.
4106,4106,2024-06-08,2024-06-14,en attente,Leroy Samson S.A.
4107,4107,2020-05-29,2020-06-03,en attente,Morvan S.A.
4108,4108,2019-01-12,2019-01-13,livrée,Humbert
4109,4109,2022-01-19,2022-01-22,en cours,Brun S.A.R.L.
4110,4110,2020-05-18,2020-05-21,en cours,Robert Coulon SARL
4111,4111,2021-03-12,2021-03-19,en attente,Lemonnier
4112,4112,2021-06-09,2021-06-16,en attente,Antoine SA
4113,4113,2019-02-05,2019-02-12,en cours,Perrin
4114,4114,2020-11-11,2020-11-12,en attente,Vidal Joly et Fils
4115,4115,2022-09-29,2022-10-04,en attente,Guillet SARL
4116,4116,2024-09-22,2024-09-24,en cours,Briand Duhamel S.A.
4117,4117,2025-07-27,2025-07-29,en cours,Teixeira S.A.S.
4118,4118,2020-03-03,2020-03-07,livrée,Ribeiro
4119,4119,2024-01-06,2024-01-12,en cours,Dias
4120,4120,2021-12-06,2021-12-13,en attente,Riou
4121,4121,2024-03-11,2024-03-13,livrée,Hoarau Perrot et Fils
4122,4122,2024-08-31,2024-09-07,en cours,Baudry
4123,4123,2020-12-22,2020-12-23,livrée,Potier
4124,4124,2022-06-12,2022-06-17,livrée,Roger
4125,4125,2025-05-22,2025-05-28,en attente,Guyon
4126,4126,2022-08-26,2022-08-31,livrée,Julien SARL
4127,4127,2021-12-31,2022-01-04,en cours,Barre Bousquet S.A.S.
4128,4128,2024-08-08,2024-08-14,livrée,Chauvet SA
4129,4129,2024-05-24,2024-05-31,livrée,Godard
4130,4130,2022-03-23,2022-03-25,en attente,Turpin
4131,4131,2019-11-05,2019-11-07,livrée,Picard
4132,4132,2021-10-04,2021-10-09,livrée,Guyon
4133,4133,2021-05-26,2021-05-31,en attente,Ramos
4134,4134,2025-09-05,2025-09-08,en cours,Arnaud S.A.R.L.
4135,4135,2021-03-09,2021-03-10,livrée,Courtois Blin SARL
4136,4136,2023-06-19,2023-06-26,en attente,Morel S.A.
4137,4137,2019-02-04,2019-02-11,livrée,Renault SA
4138,4138,2024-01-22,2024-01-28,en attente,Valette SARL
4139,4139,2025-03-06,2025-03-09,livrée,Boutin Baudry S.A.R.L.
4140,4140,2021-04-14,2021-04-19,livrée,Bonnin
4141,4141,2022-05-13,2022-05-19,en cours,Jourdan
4142,4142,2022-07-16,2022-07-19,livrée,Ribeiro
4143,4143,2021-10-02,2021-10-08,en cours,Lopez
4144,4144,2020-08-25,2020-08-28,en attente,Launay Tanguy S.A.R.L.
4145,4145,2023-06-21,2023-06-23,en cours,Bigot SARL
4146,4146,2021-09-13,2021-09-17,en cours,Raynaud
4147,4147,2025-12-24,2025-12-31,en attente,Pinto Langlois S.A.
4148,4148,2022-09-04,2022-09-09,en cours,Garcia SARL
4149,4149,2020-11-14,2020-11-21,en cours,Morvan
4150,4150,2023-05-07,2023-05-09,en cours,Jacquet Bourgeois SARL
4151,4151,2023-08-31,2023-09-07,livrée,Jacquet S.A.
4152,4152,2021-11-17,2021-11-19,en attente,Riou
4153,4153,2023-04-29,2023-05-02,en attente,Muller S.A.S.
4154,4154,2025-12-10,2025-12-16,en attente,Da Silva
4155,4155,2021-03-01,2021-03-03,en attente,Leclercq Guilbert SARL
4156,4156,2023-04-12,2023-04-18,en attente,Durand
4157,4157,2025-12-07,2025-12-11,en cours,Gonzalez Renard SA
4158,4158,2024-10-25,2024-10-26,en cours,Carpentier
4159,4159,2019-12-07,2019-12-09,livrée,Courtois S.A.R.L.
4160,4160,2024-09-19,2024-09-21,livrée,Dufour
4161,4161,2019-01-15,2019-01-16,en attente,Léger
4162,4162,2022-05-25,2022-06-01,en attente,Deschamps
4163,4163,2022-09-09,2022-09-13,livrée,Pasquier
4164,4164,2023-10-06,2023-10-11,livrée,Rodrigues
4165,4165,2023-06-02,2023-06-08,en attente,Guichard
4166,4166,2022-12-20,2022-12-27,en cours,Bailly Maillet SA
4167,4167,2023-01-19,2023-01-26,livrée,Bouvet
4168,4168,2023-12-29,2023-12-30,livrée,Roux
4169,4169,2020-05-20,2020-05-22,en cours,Lecomte S.A.R.L.
4170,4170,2022-09-28,2022-10-03,livrée,Masse Humbert SA
4171,4171,2025-10-15,2025-10-16,en cours,Richard
4172,4172,2021-11-08,2021-11-13,en attente,Berger
4173,4173,2022-07-10,2022-07-13,en cours,Bazin
4174,4174,2020-01-15,2020-01-22,en attente,Germain SARL
4175,4175,2023-11-08,2023-11-09,en cours,Boulanger
4176,4176,2022-06-17,2022-06-22,en cours,Giraud Morin et Fils
4177,4177,2019-01-07,2019-01-11,livrée,Lagarde
4178,4178,2020-01-16,2020-01-23,en attente,Bazin
4179,4179,2023-11-25,2023-11-26,en cours,Albert
4180,4180,2022-01-20,2022-01-24,livrée,Lévêque
4181,4181,2025-11-11,2025-11-18,en cours,Riou
4182,4182,2020-07-28,2020-07-30,en cours,Léger Collin S.A.
4183,4183,2019-03-22,2019-03-26,livrée,Lenoir
4184,4184,2019-03-07,2019-03-14,livrée,Torres Monnier SARL
4185,4185,2021-06-06,2021-06-10,livrée,Breton S.A.
4186,4186,2021-02-11,2021-02-12,en cours,Charpentier Laroche SARL
4187,4187,2021-03-10,2021-03-13,en attente,Marion
4188,4188,2022-11-15,2022-11-21,en cours,Marchand Rodriguez S.A.S.
4189,4189,2025-08-03,2025-08-05,en attente,Bourdon Texier SARL
4190,4190,2022-11-21,2022-11-27,en attente,Gimenez SARL
4191,4191,2020-05-05,2020-05-11,en attente,Richard SARL
4192,4192,2019-01-19,2019-01-21,en attente,Lecoq
4193,4193,2022-10-22,2022-10-26,en attente,Petit Roux S.A.R.L.
4194,4194,2025-04-17,2025-04-18,en cours,Robert Dupuy et Fils
4195,4195,2022-02-13,2022-02-19,livrée,Le Roux
4196,4196,2020-03-29,2020-04-01,en cours,Da Silva S.A.
4197,4197,2023-01-18,2023-01-23,livrée,Pierre Fernandes SARL
4198,4198,2019-09-20,2019-09-26,en cours,Hebert
4199,4199,2024-09-22,2024-09-26,livrée,Da Silva Hubert S.A.S.
4200,4200,2020-12-29,2021-01-05,livrée,Guilbert SARL
4201,4201,2022-11-22,2022-11-28,en cours,Blondel Goncalves S.A.
4202,4202,2024-04-30,2024-05-06,en attente,Chevallier
4203,4203,2023-02-13,2023-02-17,en cours,Maréchal
4204,4204,2019-10-21,2019-10-28,en cours,Laporte
4205,4205,2021-04-14,2021-04-15,livrée,Ramos Jacques SA
4206,4206,2023-11-02,2023-11-05,en cours,Dupuis
4207,4207,2022-01-01,2022-01-07,livrée,Ollivier
4208,4208,2024-12-19,2024-12-24,en attente,Techer
4209,4209,2022-09-12,2022-09-16,en attente,Delattre
4210,4210,2020-10-25,2020-10-29,livrée,Boulanger Garnier S.A.
4211,4211,2024-07-13,2024-07-20,en attente,Hoareau
4212,4212,2021-07-20,2021-07-22,en cours,Le Roux
4213,4213,2024-04-13,2024-04-19,en cours,Diallo
4214,4214,2024-05-19,2024-05-26,en attente,Charles
4215,4215,2022-09-09,2022-09-12,livrée,Poirier Grégoire S.A.R.L.
4216,4216,2019-02-11,2019-02-15,en attente,Becker
4217,4217,2024-11-01,2024-11-02,en cours,Lefebvre
4218,4218,2025-05-07,2025-05-12,en cours,Charpentier Petit et Fils
4219,4219,2019-11-10,2019-11-17,livrée,Chrétien
4220,4220,2021-02-08,2021-02-12,en cours,Humbert SARL
4221,4221,2021-04-22,2021-04-24,en attente,Descamps Vincent SA
4222,4222,2020-06-16,2020-06-17,en attente,Maillard
4223,4223,2023-07-20,2023-07-22,en cours,Laine Guillon et Fils
4224,4224,2023-07-20,2023-07-25,livrée,Maréchal
4225,4225,2022-09-03,2022-09-06,livrée,Mahe Pires S.A.R.L.
4226,4226,2022-12-29,2023-01-04,en attente,Humbert
4227,4227,2025-11-11,2025-11-17,livrée,Duval
4228,4228,2025-10-26,2025-10-29,en attente,Laine
4229,4229,2021-08-06,2021-08-07,livrée,Menard S.A.S.
4230,4230,2021-09-09,2021-09-13,en cours,Lejeune
4231,4231,2025-06-21,2025-06-25,en cours,Jourdan S.A.
4232,4232,2020-11-10,2020-11-11,en attente,Peltier
4233,4233,2025-10-21,2025-10-25,en cours,Seguin
4234,4234,2024-11-09,2024-11-13,livrée,Paul S.A.
4235,4235,2025-05-10,2025-05-16,en cours,Rousset Perrier S.A.R.L.
4236,4236,2020-07-16,2020-07-23,en attente,Pineau Legros S.A.
4237,4237,2021-05-28,2021-05-31,livrée,Dupont
4238,4238,2019-07-24,2019-07-26,en attente,Alexandre
4239,4239,2023-04-11,2023-04-18,en attente,Hubert SARL
4240,4240,2025-04-15,2025-04-22,en attente,Dupont Laporte S.A.S.
4241,4241,2022-10-15,2022-10-17,en attente,Parent Albert S.A.
4242,4242,2020-09-19,2020-09-21,en attente,Becker
4243,4243,2022-11-16,2022-11-20,en attente,Colin S.A.S.
4244,4244,2019-02-19,2019-02-24,livrée,Blot
4245,4245,2025-05-23,2025-05-24,livrée,Barbe
4246,4246,2019-03-16,2019-03-20,en cours,Vaillant
4247,4247,2024-12-11,2024-12-17,en attente,Foucher Dos Santos S.A.R.L.
4248,4248,2024-10-14,2024-10-15,en cours,Moreno Lamy S.A.R.L.
4249,4249,2020-10-18,2020-10-20,livrée,Pichon Collin S.A.
4250,4250,2025-07-01,2025-07-04,en attente,Pottier
4251,4251,2019-02-05,2019-02-09,en cours,Gallet
4252,4252,2020-10-27,2020-10-31,en attente,Dumont
4253,4253,2021-10-25,2021-10-29,en attente,Vallée S.A.S.
4254,4254,2023-12-15,2023-12-17,livrée,Robin Dufour SA
4255,4255,2022-04-19,2022-04-21,en cours,Regnier
4256,4256,2024-11-24,2024-11-26,en cours,Hoareau
4257,4257,2023-09-17,2023-09-22,en attente,Couturier S.A.S.
4258,4258,2020-09-01,2020-09-06,livrée,Didier Fontaine S.A.
4259,4259,2023-10-25,2023-10-26,en cours,Guichard S.A.R.L.
4260,4260,2024-04-05,2024-04-12,en attente,Chartier
4261,4261,2023-01-03,2023-01-05,livrée,Godard
4262,4262,2019-11-13,2019-11-17,en attente,Joly S.A.
4263,4263,2019-09-11,2019-09-16,en cours,Gros S.A.S.
4264,4264,2019-09-03,2019-09-05,en cours,Valentin S.A.S.
4265,4265,2019-09-30,2019-10-02,en attente,Roussel
4266,4266,2020-04-14,2020-04-18,livrée,Jacquot
4267,4267,2019-05-15,2019-05-22,en attente,Schmitt
4268,4268,2021-10-20,2021-10-25,en cours,Denis
4269,4269,2022-10-06,2022-10-07,en cours,Leclerc SARL
4270,4270,2024-07-16,2024-07-17,livrée,Grégoire SARL
4271,4271,2021-12-18,2021-12-21,en cours,Chevalier S.A.
4272,4272,2022-09-15,2022-09-18,en attente,Lombard Hubert et Fils
4273,4273,2019-07-28,2019-07-29,en cours,Schmitt
4274,4274,2025-04-26,2025-05-02,en cours,François Diallo et Fils
4275,4275,2019-09-29,2019-10-01,en cours,Chauveau
4276,4276,2022-07-31,2022-08-04,en cours,Fischer SA
4277,4277,2022-05-30,2022-06-05,en attente,Barthelemy
4278,4278,2024-03-11,2024-03-16,en cours,Leconte S.A.
4279,4279,2019-05-18,2019-05-20,livrée,Pierre
4280,4280,2025-09-10,2025-09-11,livrée,Dijoux S.A.R.L.
4281,4281,2019-03-18,2019-03-25,livrée,Julien S.A.R.L.
4282,4282,2021-01-17,2021-01-18,en cours,Costa Fabre S.A.S.
4283,4283,2021-04-24,2021-04-26,en cours,Pichon et Fils
4284,4284,2023-07-09,2023-07-15,en cours,Paul
4285,4285,2019-12-06,2019-12-08,en attente,Chevallier Vasseur S.A.R.L.
4286,4286,2025-07-27,2025-07-30,en attente,Guilbert et Fils
4287,4287,2019-02-10,2019-02-14,en cours,Diallo S.A.R.L.
4288,4288,2023-03-01,2023-03-06,en attente,Poirier
4289,4289,2020-01-02,2020-01-03,en attente,Grondin
4290,4290,2025-01-28,2025-02-02,en attente,Bouchet S.A.S.
4291,4291,2023-08-02,2023-08-07,livrée,Leconte
4292,4292,2024-04-09,2024-04-12,en cours,Dos Santos
4293,4293,2025-08-05,2025-08-11,en attente,Vidal Carre SARL
4294,4294,2025-03-05,2025-03-12,en attente,Boucher
4295,4295,2025-10-17,2025-10-23,en attente,Besnard S.A.R.L.
4296,4296,2023-05-27,2023-06-02,en attente,Bonneau
4297,4297,2022-03-10,2022-03-12,en cours,Valette
4298,4298,2019-12-12,2019-12-15,livrée,Leconte Diallo S.A.S.
4299,4299,2023-10-25,2023-11-01,livrée,Moulin Guilbert S.A.
4300,4300,2019-09-02,2019-09-07,en attente,Perrier SARL
4301,4301,2023-09-30,2023-10-07,livrée,Prévost SARL
4302,4302,2024-02-01,2024-02-05,en attente,Bourdon SA
4303,4303,2021-09-02,2021-09-05,en attente,Pruvost
4304,4304,2023-04-12,2023-04-13,en cours,Blanchard
4305,4305,2023-04-23,2023-04-27,en cours,Gaudin S.A.R.L.
4306,4306,2021-04-18,2021-04-24,en attente,Guillet
4307,4307,2023-05-19,2023-05-20,livrée,Adam Boulanger SA
4308,4308,2024-01-26,2024-01-28,livrée,Samson S.A.S.
4309,4309,2021-07-21,2021-07-23,en cours,Laurent et Fils
4310,4310,2020-01-12,2020-01-16,en cours,Vaillant
4311,4311,2022-02-18,2022-02-24,en attente,Delaunay Couturier et Fils
4312,4312,2023-02-27,2023-03-01,en attente,Moulin Torres S.A.
4313,4313,2020-04-12,2020-04-17,en cours,Hervé
4314,4314,2023-01-17,2023-01-18,en cours,Chauveau
4315,4315,2025-11-09,2025-11-11,en cours,Devaux
4316,4316,2019-09-20,2019-09-24,livrée,Diaz
4317,4317,2020-12-07,2020-12-11,en attente,Bouchet Blanc et Fils
4318,4318,2021-01-21,2021-01-25,en attente,Marchal Carpentier S.A.S.
4319,4319,2021-03-27,2021-03-29,en attente,Colas S.A.
4320,4320,2024-05-05,2024-05-06,en attente,Besson et Fils
4321,4321,2024-04-10,2024-04-17,livrée,Morvan S.A.R.L.
4322,4322,2023-12-13,2023-12-15,livrée,Martel Pereira SARL
4323,4323,2025-05-07,2025-05-13,livrée,Julien Auger SA
4324,4324,2020-07-23,2020-07-26,livrée,Diaz
4325,4325,2022-01-10,2022-01-13,livrée,Pascal
4326,4326,2023-07-15,2023-07-20,en cours,Maury S.A.R.L.
4327,4327,2023-11-19,2023-11-24,en cours,Dumont
4328,4328,2020-12-02,2020-12-09,en attente,Valette
4329,4329,2022-08-04,2022-08-07,en cours,Fabre Chevallier SARL
4330,4330,2020-08-09,2020-08-12,en attente,Germain
4331,4331,2023-12-14,2023-12-21,livrée,Rodriguez SA
4332,4332,2023-09-16,2023-09-17,livrée,Bousquet Guérin S.A.S.
4333,4333,2025-05-13,2025-05-14,livrée,Louis
4334,4334,2022-04-23,2022-04-25,en cours,Turpin
4335,4335,2023-04-24,2023-04-26,en attente,Lesage S.A.
4336,4336,2022-06-03,2022-06-08,livrée,Bertin Marin S.A.
4337,4337,2021-08-13,2021-08-15,en attente,Lagarde et Fils
4338,4338,2024-01-16,2024-01-18,livrée,Baudry
4339,4339,2020-04-30,2020-05-05,en cours,Lemaire
4340,4340,2023-08-18,2023-08-19,livrée,Martinez
4341,4341,2023-07-07,2023-07-14,livrée,Chevallier
4342,4342,2020-06-05,2020-06-10,en attente,Germain
4343,4343,2023-01-27,2023-02-02,livrée,Boulay
4344,4344,2025-11-12,2025-11-15,en cours,Allain
4345,4345,2021-08-30,2021-09-03,livrée,Delorme Bigot SA
4346,4346,2024-10-29,2024-11-01,livrée,Legros Fernandez SA
4347,4347,2021-11-09,2021-11-11,en cours,Bousquet
4348,4348,2020-12-07,2020-12-12,en cours,Guyot
4349,4349,2021-09-26,2021-09-29,en attente,Gillet
4350,4350,2023-04-20,2023-04-26,en cours,Guibert SA
4351,4351,2021-05-14,2021-05-15,livrée,Rémy Paris S.A.S.
4352,4352,2021-12-22,2021-12-28,en cours,Jacques
4353,4353,2021-01-25,2021-01-31,livrée,Leroux
4354,4354,2023-05-10,2023-05-14,en attente,Guillou
4355,4355,2023-01-13,2023-01-15,livrée,Dias Dijoux S.A.R.L.
4356,4356,2022-11-20,2022-11-25,en cours,Poirier
4357,4357,2025-08-18,2025-08-25,en attente,Chauvin et Fils
4358,4358,2020-04-07,2020-04-14,en cours,Colin
4359,4359,2024-05-24,2024-05-25,livrée,Paul Roussel S.A.
4360,4360,2020-11-07,2020-11-09,livrée,Diallo
4361,4361,2022-07-01,2022-07-06,en cours,Weiss SA
4362,4362,2024-04-19,2024-04-23,livrée,Duhamel S.A.R.L.
4363,4363,2020-04-23,2020-04-24,livrée,Le Gall et Fils
4364,4364,2023-05-05,2023-05-12,livrée,Guillet
4365,4365,2024-09-25,2024-10-02,en cours,Vincent S.A.
4366,4366,2021-08-31,2021-09-06,livrée,Merle S.A.
4367,4367,2022-09-05,2022-09-12,livrée,Sauvage Ribeiro SARL
4368,4368,2024-07-02,2024-07-07,en attente,Blondel S.A.
4369,4369,2025-01-11,2025-01-14,livrée,Mallet
4370,4370,2025-02-21,2025-02-24,en attente,Da Costa
4371,4371,2024-06-04,2024-06-06,en attente,Baudry
4372,4372,2025-07-30,2025-07-31,en attente,Germain S.A.
4373,4373,2019-04-04,2019-04-06,livrée,Duhamel
4374,4374,2025-04-01,2025-04-03,en cours,Pineau
4375,4375,2024-12-07,2024-12-14,livrée,Hardy
4376,4376,2020-08-18,2020-08-19,livrée,Lambert S.A.
4377,4377,2022-09-16,2022-09-19,livrée,Grondin
4378,4378,2025-09-28,2025-10-04,en cours,Jourdan S.A.R.L.
4379,4379,2021-11-30,2021-12-01,en cours,Rodrigues
4380,4380,2021-08-07,2021-08-13,en cours,Berthelot S.A.R.L.
4381,4381,2022-07-12,2022-07-14,en cours,Gay S.A.S.
4382,4382,2020-09-14,2020-09-20,livrée,Léger Denis SA
4383,4383,2022-07-10,2022-07-15,en attente,Royer
4384,4384,2020-09-30,2020-10-01,en attente,Rousset
4385,4385,2023-11-20,2023-11-26,en attente,Vallet
4386,4386,2021-09-19,2021-09-20,en attente,Schneider
4387,4387,2022-05-16,2022-05-18,en cours,Rossi Charles S.A.R.L.
4388,4388,2025-08-22,2025-08-29,en cours,Morvan Bouvet S.A.R.L.
4389,4389,2024-07-02,2024-07-06,en cours,Antoine Pichon SA
4390,4390,2024-06-06,2024-06-09,livrée,Gomes S.A.S.
4391,4391,2023-08-29,2023-09-01,en cours,Pruvost
4392,4392,2023-04-02,2023-04-03,en attente,Lemonnier Garcia S.A.
4393,4393,2020-07-13,2020-07-19,en cours,Gillet SARL
4394,4394,2024-02-12,2024-02-18,en attente,Chauvet Étienne S.A.
4395,4395,2022-09-21,2022-09-22,en cours,Ferrand S.A.S.
4396,4396,2023-05-20,2023-05-26,en attente,Hamon SA
4397,4397,2025-06-05,2025-06-06,en cours,Rivière S.A.R.L.
4398,4398,2025-01-02,2025-01-06,en cours,Vidal
4399,4399,2022-02-15,2022-02-20,livrée,Chauveau S.A.R.L.
4400,4400,2022-05-31,2022-06-02,en cours,Legros SA
4401,4401,2025-07-26,2025-07-29,en cours,Goncalves
4402,4402,2022-12-10,2022-12-15,en attente,Blin
4403,4403,2022-11-04,2022-11-05,en attente,Martineau SA
4404,4404,2019-09-01,2019-09-03,en cours,Lacroix Sanchez S.A.S.
4405,4405,2024-03-29,2024-03-30,en cours,Renaud S.A.
4406,4406,2024-10-26,2024-10-31,en attente,Gomez SA
4407,4407,2019-08-25,2019-08-31,livrée,Alves Tessier S.A.R.L.
4408,4408,2022-06-09,2022-06-15,en attente,Reynaud
4409,4409,2020-09-24,2020-09-28,en attente,Arnaud
4410,4410,2019-08-10,2019-08-16,livrée,Guibert S.A.R.L.
4411,4411,2019-01-29,2019-02-01,livrée,Gomes Lemaire et Fils
4412,4412,2021-09-17,2021-09-18,livrée,Gimenez Mallet et Fils
4413,4413,2025-08-23,2025-08-24,livrée,Lucas
4414,4414,2024-05-29,2024-06-04,en cours,Guyot SA
4415,4415,2025-08-14,2025-08-17,en attente,Fischer SA
4416,4416,2020-01-29,2020-01-30,en attente,Parent SA
4417,4417,2020-05-03,2020-05-09,en cours,Pereira et Fils
4418,4418,2025-05-29,2025-06-03,livrée,Turpin Delaunay S.A.R.L.
4419,4419,2020-10-03,2020-10-09,en attente,Mendès
4420,4420,2023-02-14,2023-02-18,livrée,François Julien SA
4421,4421,2022-07-04,2022-07-05,en attente,Moreau SARL
4422,4422,2025-09-02,2025-09-05,livrée,Chartier
4423,4423,2021-01-18,2021-01-22,en cours,Dos Santos
4424,4424,2024-07-26,2024-07-28,en cours,Marchand
4425,4425,2019-01-04,2019-01-09,en cours,Laporte
4426,4426,2021-09-27,2021-09-28,en cours,Normand
4427,4427,2023-04-04,2023-04-08,livrée,Lefèvre
4428,4428,2020-09-16,2020-09-23,livrée,Vincent
4429,4429,2025-05-24,2025-05-27,livrée,Lebrun
4430,4430,2019-06-23,2019-06-28,en cours,Paul et Fils
4431,4431,2019-01-26,2019-01-28,en attente,Mace
4432,4432,2020-10-20,2020-10-21,en attente,Humbert
4433,4433,2025-12-31,2026-01-01,livrée,Leclercq Lefort SA
4434,4434,2025-10-15,2025-10-16,livrée,Lesage
4435,4435,2024-08-26,2024-08-29,en cours,Allain S.A.S.
4436,4436,2024-02-23,2024-02-24,livrée,Becker SA
4437,4437,2023-07-23,2023-07-25,livrée,Maréchal S.A.
4438,4438,2025-11-28,2025-11-29,livrée,Baron
4439,4439,2020-10-26,2020-11-02,en cours,Dupuis
4440,4440,2023-12-03,2023-12-07,livrée,Jacquet
4441,4441,2021-05-23,2021-05-25,en cours,Denis Gérard S.A.S.
4442,4442,2022-10-30,2022-11-02,livrée,Gauthier
4443,4443,2024-10-05,2024-10-08,en cours,Sauvage Leblanc S.A.S.
4444,4444,2025-09-01,2025-09-05,livrée,Carlier
4445,4445,2023-02-23,2023-03-02,en cours,Millet Cordier S.A.
4446,4446,2020-10-23,2020-10-25,livrée,Maurice
4447,4447,2021-05-14,2021-05-16,en cours,Julien Jacquet S.A.
4448,4448,2019-04-10,2019-04-17,en cours,Leclercq Joly et Fils
4449,4449,2025-01-03,2025-01-09,livrée,Lemoine
4450,4450,2020-01-22,2020-01-27,en attente,Briand Ferreira S.A.S.
4451,4451,2019-05-06,2019-05-09,en cours,Fischer
4452,4452,2025-05-25,2025-05-27,en attente,Pages
4453,4453,2022-01-06,2022-01-08,en attente,Barthelemy
4454,4454,2021-05-29,2021-06-05,en cours,Vallet
4455,4455,2024-08-13,2024-08-14,en attente,Pires et Fils
4456,4456,2023-09-02,2023-09-05,en cours,Diaz
4457,4457,2020-11-25,2020-11-26,en attente,Dias
